Quantity,datetime
87,2018.6575342465753
91,2018.6575342465753
44,2018.6602739726027
68,2018.6739726027397
77,2018.6739726027397
22,2018.6739726027397
31,2018.6739726027397
43,2018.6794520547944
30,2018.6794520547944
19,2018.6794520547944
45,2018.682191780822
36,2018.6931506849314
51,2018.6931506849314
14,2018.695890410959
16,2018.717808219178
18,2018.717808219178
72,2018.7287671232878
31,2018.731506849315
62,2018.731506849315
79,2018.7342465753425
19,2018.7342465753425
46,2018.7342465753425
46,2018.7342465753425
100,2018.7369863013698
46,2018.7506849315068
72,2018.7506849315068
76,2018.7479452054795
74,2018.7506849315068
28,2018.7506849315068
42,2018.7506849315068
38,2018.7561643835616
60,2018.7561643835616
52,2018.7561643835616
48,2018.7561643835616
43,2018.7561643835616
96,2018.7561643835616
32,2018.7561643835616
74,2018.7671232876712
30,2018.7671232876712
47,2018.7698630136986
40,2018.7698630136986
36,2018.7698630136986
55,2018.7780821917809
96,2018.7780821917809
49,2018.786301369863
45,2018.786301369863
77,2018.786301369863
61,2018.786301369863
49,2018.786301369863
